,Player,Year,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
269,Scott Budnick,2000,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
270,Scott Vallow,2000,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
271,Steve Armas,2000,CLB,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
272,Tom Tate,2000,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
273,Zach Thornton,2001,CHI,GK,27,27,2496,145,111,30,1.08,3/3,16,6,5,9,59,77
274,Matt Jordan,2001,DAL,GK,26,26,2388,138,91,45,1.7,2/6,10,11,5,9,38,66
275,Scott Garlick,2001,COL,GK,26,26,2400,205,138,56,2.1,6/6,6,15,5,1,23,67
276,Tim Howard,2001,MET,GK,26,26,2370,190,146,35,1.33,3/3,13,10,3,4,50,77
277,Joe Cannon,2001,SJ,GK,25,25,2306,134,101,28,1.09,3/4,13,6,6,7,52,75
278,Nick Rimando,2001,MIA,GK,25,25,2300,155,116,33,1.29,3/5,15,5,5,5,60,75
279,Tom Presthus,2001,CLB,GK,25,25,2309,178,136,35,1.36,2/3,12,7,6,5,48,76
280,Adin Brown,2001,TB,GK,22,22,2018,179,118,51,2.27,4/5,3,16,3,3,14,66
281,Mike Ammann,2001,DC,GK,19,19,1739,111,73,38,1.97,3/5,3,14,2,1,16,66
282,Tony Meola,2001,KC,GK,17,17,1534,111,80,28,1.64,2/3,7,8,2,4,41,72
283,Matt Reis,2001,LA,GK,16,15,1405,76,52,22,1.41,2/2,8,3,4,6,50,68
284,Kevin Hartman,2001,LA,GK,11,11,1007,66,48,14,1.25,0/1,6,4,1,4,55,73
285,Bo Oshoniyi,2001,KC,GK,11,10,938,74,48,25,2.4,0/0,4,5,1,3,36,65
286,Jeff Causey,2001,NE,GK,11,10,1000,91,58,23,2.07,1/1,3,5,3,1,27,64
287,Juergen Sommer,2001,NE,GK,10,10,911,68,50,17,1.68,0/1,3,6,1,1,30,74
288,Jose Fernandez,2001,NE,GK,7,7,578,45,30,12,1.87,1/2,1,3,2,1,14,67
289,Mark Simpson,2001,DC,GK,7,7,630,44,30,12,1.71,1/1,5,2,0,1,71,68
290,David Kramer,2001,COL,GK,5,5,466,34,25,8,1.55,1/1,0,3,2,0,0,74
291,Jeff Cassar,2001,MIA,GK,1,1,90,9,5,3,3.0,0/0,1,0,0,0,100,56
292,Jon Conway,2001,SJ,GK,1,1,90,5,3,1,1.0,0/0,0,1,0,0,0,60
293,Mark Dougherty,2001,CLB,GK,2,1,100,6,5,1,0.9,0/0,1,0,0,0,50,83
294,Adam Throop,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
295,Alex Deegan,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
296,Anthony Latronica,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
297,Chris Snitko,2001,DAL,GK,1,0,24,2,0,2,7.5,0/0,0,0,0,0,0,0
298,Mark Dougherty,2001,CLB,GK,2,1,100,6,5,1,0.9,0/0,1,0,0,0,50,83
299,Adam Throop,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
300,Alex Deegan,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
301,Anthony Latronica,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
302,Chris Snitko,2001,DAL,GK,1,0,24,2,0,2,7.5,0/0,0,0,0,0,0,0
303,Cole Burgman,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
304,D.J. Countess,2001,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
305,Dan Moss,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
306,Dan Popik,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
307,David Winner,2001,MIA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
308,Eric Pogue,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
309,Henry Ring,2001,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
310,Joe Warren,2001,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
311,Jon Lowery,2001,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
312,Matt Napoleon,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
313,Matt Nyman,2001,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
314,Nick Downing,2001,NE,D,1,0,3,1,1,0,0.0,0/0,0,0,0,0,0,100
315,Paul Grafer,2001,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
316,Preston Burpo,2001,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
317,Randy Dedini,2001,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
318,Rich Cullen,2001,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
319,Ronnie Pascale,2001,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
320,T.J. Hannig,2001,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
321,Taly Goode,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
322,Wolde Harris,2001,NE,F,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
323,Mark Dougherty,2001,CLB,GK,2,1,100,6,5,1,0.9,0/0,1,0,0,0,50,83
324,Adam Throop,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
325,Alex Deegan,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
326,Anthony Latronica,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
327,Chris Snitko,2001,DAL,GK,1,0,24,2,0,2,7.5,0/0,0,0,0,0,0,0
328,Cole Burgman,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
329,D.J. Countess,2001,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
330,Dan Moss,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
331,Dan Popik,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
332,David Winner,2001,MIA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
333,Eric Pogue,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
334,Henry Ring,2001,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
335,Joe Warren,2001,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
336,Jon Lowery,2001,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
337,Matt Napoleon,2001,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
338,Matt Nyman,2001,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
339,Nick Downing,2001,NE,D,1,0,3,1,1,0,0.0,0/0,0,0,0,0,0,100
340,Paul Grafer,2001,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
341,Preston Burpo,2001,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
342,Randy Dedini,2001,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
343,Rich Cullen,2001,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
344,Ronnie Pascale,2001,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
345,T.J. Hannig,2001,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
346,Taly Goode,2001,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
347,Wolde Harris,2001,NE,F,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
348,Nick Rimando,2002,DC,GK,28,28,2588,183,131,40,1.39,5/6,9,14,5,7,32,72
349,Matt Jordan,2002,DAL,GK,27,27,2511,158,109,42,1.51,5/6,12,9,6,3,44,69
350,Tim Howard,2002,MET,GK,27,27,2463,195,140,44,1.61,2/4,11,14,2,4,41,72
351,Zach Thornton,2002,CHI,GK,27,27,2483,164,124,34,1.23,3/3,10,13,4,7,37,76
352,Joe Cannon,2002,SJ,GK,26,26,2375,136,100,29,1.1,4/5,13,10,3,8,50,74
353,Kevin Hartman,2002,LA,GK,18,18,1648,108,83,20,1.09,2/3,11,6,1,5,61,77
354,Tony Meola,2002,KC,GK,17,17,1519,88,65,21,1.24,0/2,6,5,5,3,35,74
355,Adin Brown,2002,NE,GK,16,16,1460,102,72,20,1.23,2/3,9,6,1,5,56,71
356,Scott Garlick,2002,COL,GK,15,15,1374,92,61,24,1.57,1/1,6,7,2,4,40,66
357,Tom Presthus,2002,CLB,GK,15,15,1365,103,73,28,1.85,2/3,3,9,3,2,20,71
358,David Kramer,2002,COL,GK,13,13,1195,75,49,24,1.81,2/3,7,4,2,2,54,65
359,Jon Busch,2002,CLB,GK,14,13,1236,80,63,15,1.09,0/2,8,3,2,5,57,79
360,Juergen Sommer,2002,NE,GK,12,12,1090,87,53,29,2.39,1/1,3,8,1,2,25,61
361,Bo Oshoniyi,2002,KC,GK,13,11,1096,80,55,24,1.97,1/2,3,5,4,1,23,69
362,Matt Reis,2002,LA,GK,11,10,929,47,33,13,1.26,1/1,5,3,2,2,45,70
363,Jon Conway,2002,SJ,GK,3,2,181,17,11,6,2.98,1/1,1,1,0,0,33,65
364,D.J. Countess,2002,DAL,GK,1,1,100,7,6,1,0.9,0/0,0,0,1,0,0,86
365,Henry Ring,2002,CHI,GK,1,1,90,7,3,4,4.0,0/0,1,0,0,0,100,43
366,Paul Grafer,2002,MET,GK,2,1,91,7,3,3,2.97,1/1,0,1,0,0,0,43
367,Bryheem Hancock,2002,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
368,Chris Wanamaker,2002,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
369,Dan Sirota,2002,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
370,Dmitri Strunkin,2002,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
371,Greg Sutton,2002,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
372,Jeff Cassar,2002,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
373,Scott Garlick,2002,COL,GK,15,15,1374,92,61,24,1.57,1/1,6,7,2,4,40,66
374,Tom Presthus,2002,CLB,GK,15,15,1365,103,73,28,1.85,2/3,3,9,3,2,20,71
375,David Kramer,2002,COL,GK,13,13,1195,75,49,24,1.81,2/3,7,4,2,2,54,65
376,Jon Busch,2002,CLB,GK,14,13,1236,80,63,15,1.09,0/2,8,3,2,5,57,79
377,Juergen Sommer,2002,NE,GK,12,12,1090,87,53,29,2.39,1/1,3,8,1,2,25,61
378,Bo Oshoniyi,2002,KC,GK,13,11,1096,80,55,24,1.97,1/2,3,5,4,1,23,69
379,Matt Reis,2002,LA,GK,11,10,929,47,33,13,1.26,1/1,5,3,2,2,45,70
380,Jon Conway,2002,SJ,GK,3,2,181,17,11,6,2.98,1/1,1,1,0,0,33,65
381,D.J. Countess,2002,DAL,GK,1,1,100,7,6,1,0.9,0/0,0,0,1,0,0,86
382,Henry Ring,2002,CHI,GK,1,1,90,7,3,4,4.0,0/0,1,0,0,0,100,43
383,Paul Grafer,2002,MET,GK,2,1,91,7,3,3,2.97,1/1,0,1,0,0,0,43
384,Bryheem Hancock,2002,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
385,Chris Wanamaker,2002,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
386,Dan Sirota,2002,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
387,Dmitri Strunkin,2002,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
388,Greg Sutton,2002,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
389,Jeff Cassar,2002,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
390,Jon Lowery,2002,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
391,Josh Lynk,2002,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
392,Matt Napoleon,2002,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
393,Michael Ueltschey,2002,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
394,Mike McGinty,2002,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
395,Rich Cullen,2002,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
396,Scott Vallow,2002,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
397,Taly Goode,2002,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
398,Kevin Hartman,2003,LA,GK,30,30,2796,190,149,35,1.13,3/4,9,12,9,3,30,78
399,Tony Meola,2003,KC,GK,30,30,2789,172,121,44,1.42,6/6,11,10,9,4,37,70
400,Zach Thornton,2003,CHI,GK,30,30,2728,165,123,37,1.22,4/4,15,6,8,8,50,75
401,Pat Onstad,2003,SJ,GK,27,27,2510,138,103,29,1.04,1/1,14,5,8,9,52,75
402,Scott Garlick,2003,COL,GK,26,26,2346,123,83,38,1.46,5/6,11,10,5,9,42,67
403,Adin Brown,2003,NE,GK,25,25,2347,136,95,37,1.42,2/3,11,6,8,4,44,70
404,Nick Rimando,2003,DC,GK,25,25,2318,131,100,29,1.13,3/5,10,9,6,7,40,76
405,D.J. Countess,2003,DAL,GK,24,24,2193,173,115,48,1.97,6/10,5,15,4,2,21,66
406,Jon Busch,2003,CLB,GK,24,24,2194,144,104,35,1.44,8/8,9,8,6,4,38,72
407,Jonny Walker,2003,MET,GK,14,14,1325,70,55,14,0.95,2/3,4,5,5,4,29,79
408,Tim Howard,2003,MET,GK,13,13,1222,96,74,18,1.33,1/2,6,3,4,3,46,77
409,Jeff Cassar,2003,DAL,GK,7,6,561,40,23,16,2.57,0/0,1,4,1,2,14,58
410,Tom Presthus,2003,CLB,GK,7,6,613,30,21,9,1.32,0/0,1,4,2,2,14,70
411,Matt Reis,2003,NE,GK,5,5,458,23,12,10,1.97,2/2,1,3,1,0,20,52
412,Doug Warren,2003,DC,GK,5,4,404,33,26,6,1.34,2/2,0,2,2,0,0,79
413,Scott Vallow,2003,COL,GK,4,4,380,22,14,7,1.66,2/2,0,2,2,0,0,64
414,Jon Conway,2003,SJ,GK,3,3,280,18,11,6,1.93,0/0,0,2,1,1,0,61
415,Paul Grafer,2003,MET,GK,3,3,270,24,14,8,2.67,0/0,1,2,0,1,33,58
416,Clint Baumstark,2003,DC,GK,1,1,100,1,0,1,0.9,0/0,0,0,1,0,0,0
417,Bo Oshoniyi,2003,KC,GK,1,0,7,0,0,0,0.0,0/0,0,0,0,0,0,0
418,Byron Foss,2003,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
419,Chris Gbandi,2003,DAL,D,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
420,Curtis Spiteri,2003,CHI,GK,1,0,44,10,4,6,12.27,0/0,0,1,0,0,0,40
421,Damani Ralph,2003,CHI,F,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
422,Dan Popik,2003,LA,GK,1,0,16,0,0,0,0.0,0/0,0,0,0,0,0,0
423,Tom Presthus,2003,CLB,GK,7,6,613,30,21,9,1.32,0/0,1,4,2,2,14,70
424,Matt Reis,2003,NE,GK,5,5,458,23,12,10,1.97,2/2,1,3,1,0,20,52
425,Doug Warren,2003,DC,GK,5,4,404,33,26,6,1.34,2/2,0,2,2,0,0,79
426,Scott Vallow,2003,COL,GK,4,4,380,22,14,7,1.66,2/2,0,2,2,0,0,64
427,Jon Conway,2003,SJ,GK,3,3,280,18,11,6,1.93,0/0,0,2,1,1,0,61
428,Paul Grafer,2003,MET,GK,3,3,270,24,14,8,2.67,0/0,1,2,0,1,33,58
429,Clint Baumstark,2003,DC,GK,1,1,100,1,0,1,0.9,0/0,0,0,1,0,0,0
430,Bo Oshoniyi,2003,KC,GK,1,0,7,0,0,0,0.0,0/0,0,0,0,0,0,0
431,Byron Foss,2003,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
432,Chris Gbandi,2003,DAL,D,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
433,Curtis Spiteri,2003,CHI,GK,1,0,44,10,4,6,12.27,0/0,0,1,0,0,0,40
434,Damani Ralph,2003,CHI,F,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
435,Dan Popik,2003,LA,GK,1,0,16,0,0,0,0.0,0/0,0,0,0,0,0,0
436,Eddie Gaven,2003,MET,M,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
437,Henry Ring,2003,CHI,GK,1,0,11,1,1,0,0.0,0/0,0,0,0,0,0,100
438,Joe Cannon,2003,COL,GK,1,0,44,0,0,0,0.0,0/0,0,0,0,0,0,0
439,John Wolyniec,2003,MET,F,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
440,Jorge Geddes,2003,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
441,Josh Saunders,2003,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
442,Kyle Singer,2003,NE,GK,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
443,Michael Ueltschey,2003,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
444,Mike McGinty,2003,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
445,Pat Noonan,2003,NE,F,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
446,Shalrie Joseph,2003,NE,M,1,0,1,0,0,0,0.0,0/0,0,0,0,0,0,0
447,Taly Goode,2003,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
448,Joe Cannon,2004,COL,GK,30,30,2700,187,150,32,1.07,5/7,10,9,11,10,33,80
449,Kevin Hartman,2004,LA,GK,30,30,2655,164,117,39,1.32,4/5,11,8,10,7,37,71
450,Jon Busch,2004,CLB,GK,29,29,2610,169,132,31,1.07,6/7,12,5,12,10,41,78
451,Henry Ring,2004,CHI,GK,28,28,2520,170,128,40,1.43,5/6,7,12,9,7,25,75
452,Jonny Walker,2004,MET,GK,28,28,2520,148,99,45,1.61,3/4,10,11,7,5,36,67
453,Pat Onstad,2004,SJ,GK,25,25,2250,132,98,32,1.28,2/3,7,8,10,6,28,74
454,Matt Reis,2004,NE,GK,24,23,2114,134,97,32,1.36,4/4,7,10,7,3,29,72
455,Tony Meola,2004,KC,GK,21,21,1890,102,76,22,1.05,2/2,9,7,5,7,43,75
456,Jeff Cassar,2004,DAL,GK,19,19,1632,94,65,27,1.49,0/1,7,8,4,4,37,69
457,Troy Perkins,2004,DC,GK,16,16,1440,81,52,26,1.63,1/2,4,6,6,3,25,64
458,Nick Rimando,2004,DC,GK,13,13,1170,40,26,13,1.0,3/3,7,3,3,4,54,65
459,Scott Garlick,2004,DAL,GK,12,11,1068,72,52,18,1.52,1/1,3,6,2,4,25,72
460,Bo Oshoniyi,2004,KC,GK,9,9,810,56,42,8,0.89,1/2,5,2,2,5,56,75
461,Adin Brown,2004,NE,GK,7,7,585,51,39,11,1.69,0/0,1,3,2,1,14,76
462,Jon Conway,2004,SJ,GK,5,5,450,18,15,3,0.6,0/0,2,2,1,2,40,83
463,D.J. Countess,2004,CHI,GK,2,2,180,9,4,4,2.0,0/0,1,1,0,0,50,44
464,Zach Wells,2004,MET,GK,2,2,180,8,4,4,2.0,1/1,1,1,0,0,50,50
465,Doug Warren,2004,NE,GK,1,1,90,10,6,3,3.0,0/0,0,1,0,0,0,60
466,Matt Jordan,2004,CLB,GK,1,1,90,7,5,1,1.0,1/1,0,0,1,0,0,71
467,Andrew Terris,2004,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
468,Brandon Prideaux,2004,DC,D,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
469,Clint Baumstark,2004,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
470,Dan Popik,2004,LA,GK,1,0,44,3,2,1,2.05,0/0,0,1,0,0,0,67
471,Kyle Singer,2004,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
472,Matt Crawford,2004,COL,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
473,Matt Reis,2004,NE,GK,24,23,2114,134,97,32,1.36,4/4,7,10,7,3,29,72
474,Tony Meola,2004,KC,GK,21,21,1890,102,76,22,1.05,2/2,9,7,5,7,43,75
475,Jeff Cassar,2004,DAL,GK,19,19,1632,94,65,27,1.49,0/1,7,8,4,4,37,69
476,Troy Perkins,2004,DC,GK,16,16,1440,81,52,26,1.63,1/2,4,6,6,3,25,64
477,Nick Rimando,2004,DC,GK,13,13,1170,40,26,13,1.0,3/3,7,3,3,4,54,65
478,Scott Garlick,2004,DAL,GK,12,11,1068,72,52,18,1.52,1/1,3,6,2,4,25,72
479,Bo Oshoniyi,2004,KC,GK,9,9,810,56,42,8,0.89,1/2,5,2,2,5,56,75
480,Adin Brown,2004,NE,GK,7,7,585,51,39,11,1.69,0/0,1,3,2,1,14,76
481,Jon Conway,2004,SJ,GK,5,5,450,18,15,3,0.6,0/0,2,2,1,2,40,83
482,D.J. Countess,2004,CHI,GK,2,2,180,9,4,4,2.0,0/0,1,1,0,0,50,44
483,Zach Wells,2004,MET,GK,2,2,180,8,4,4,2.0,1/1,1,1,0,0,50,50
484,Doug Warren,2004,NE,GK,1,1,90,10,6,3,3.0,0/0,0,1,0,0,0,60
485,Matt Jordan,2004,CLB,GK,1,1,90,7,5,1,1.0,1/1,0,0,1,0,0,71
486,Andrew Terris,2004,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
487,Brandon Prideaux,2004,DC,D,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
488,Clint Baumstark,2004,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
489,Dan Popik,2004,LA,GK,1,0,44,3,2,1,2.05,0/0,0,1,0,0,0,67
490,Kyle Singer,2004,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
491,Matt Crawford,2004,COL,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
492,Matt Pickens,2004,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
493,Peter Billmeyer,2004,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
494,Scott Vallow,2004,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
495,Steve Cronin,2004,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
496,William Hesmer,2004,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
497,Zach Thornton,2004,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
498,Bo Oshoniyi,2005,KC,GK,32,32,2880,163,112,44,1.38,1/1,11,9,12,7,34,69
499,Pat Onstad,2005,SJ,GK,32,32,2880,136,105,31,0.97,4/5,18,4,10,12,56,77
500,Kevin Hartman,2005,LA,GK,31,31,2790,138,94,43,1.39,6/6,13,13,5,6,42,68
501,Matt Reis,2005,NE,GK,31,31,2784,162,115,35,1.13,4/5,16,7,8,10,52,71
502,Nick Rimando,2005,DC,GK,30,30,2700,128,92,35,1.17,4/5,15,9,6,11,50,72
503,D.J. Countess,2005,RSL,GK,27,27,2422,170,112,54,2.01,3/3,4,19,4,4,15,66
504,Joe Cannon,2005,COL,GK,27,27,2399,139,100,32,1.2,6/6,10,12,4,8,37,72
505,Scott Garlick,2005,DAL,GK,28,27,2457,135,98,37,1.36,2/2,13,8,7,6,46,73
506,Zach Thornton,2005,CHI,GK,27,26,2310,126,82,42,1.64,4/5,12,10,2,6,44,65
507,Brad Guzan,2005,CHV,GK,24,23,2079,156,104,46,1.99,7/9,3,16,4,2,13,67
508,Zach Wells,2005,MET,GK,17,17,1530,95,69,21,1.24,3/5,6,4,7,4,35,73
509,Jonny Walker,2005,CLB,GK,16,16,1440,87,66,18,1.13,0/0,6,8,2,5,38,76
510,Tony Meola,2005,MET,GK,15,15,1350,117,83,28,1.87,0/0,6,5,4,2,40,71
511,Jon Busch,2005,CLB,GK,9,9,765,50,34,14,1.65,0/0,3,5,1,3,33,68
512,Bill Gaudette,2005,CLB,GK,6,5,495,33,21,10,1.82,1/1,1,3,1,1,17,64
513,Byron Foss,2005,COL,GK,6,5,481,26,21,5,0.94,0/0,3,1,2,2,50,81
514,Jay Nolly,2005,RSL,GK,5,5,450,46,34,11,2.2,1/1,1,3,1,0,20,74
515,Sergio Garcia,2005,CHV,GK,5,5,441,30,19,8,1.63,0/0,1,3,1,1,20,63
516,Jeff Cassar,2005,DAL,GK,4,4,333,21,13,7,1.89,0/0,0,2,1,0,0,62
517,Martin Zuniga,2005,CHV,GK,4,4,360,32,18,13,3.25,0/0,0,3,1,0,0,56
518,David Mahoney,2005,CHI,GK,3,3,270,11,7,4,1.33,1/1,1,1,1,1,33,64
519,Matt Pickens,2005,CHI,GK,5,3,298,15,10,4,1.21,0/0,2,2,1,0,40,67
520,Matt Jordan,2005,CLB,GK,2,2,180,16,13,3,1.5,1/2,1,0,1,0,50,81
521,Troy Perkins,2005,DC,GK,2,2,180,8,5,2,1.0,1/1,1,1,0,0,50,63
522,Dario Sala,2005,DAL,GK,1,1,90,2,2,0,0.0,0/0,0,0,1,1,0,100
523,Matt Pickens,2005,CHI,GK,5,3,298,15,10,4,1.21,0/0,2,2,1,0,40,67
524,Matt Jordan,2005,CLB,GK,2,2,180,16,13,3,1.5,1/2,1,0,1,0,50,81
525,Troy Perkins,2005,DC,GK,2,2,180,8,5,2,1.0,1/1,1,1,0,0,50,63
526,Dario Sala,2005,DAL,GK,1,1,90,2,2,0,0.0,0/0,0,0,1,1,0,100
527,Doug Warren,2005,NE,GK,2,1,96,7,4,2,1.88,1/1,1,0,0,0,50,57
528,Steve Cronin,2005,LA,GK,1,1,90,5,3,2,2.0,0/0,0,0,1,0,0,60
529,Andrew Terris,2005,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
530,Andrew Weber,2005,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
531,Bouna Coundoul,2005,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
532,Brian Kamler,2005,RSL,M,1,0,8,0,0,0,0.0,0/0,0,0,0,0,0,0
533,Chris Gomez,2005,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
534,Clint Baumstark,2005,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
535,Javier Barragan,2005,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
536,Jon Conway,2005,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
537,Josh Saunders,2005,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
