,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
6046,Jon Busch,2011,SJ,GK,33,33,2970,0,0,0,0,0,0/0,0,0,0.0,0.0
6047,Nick Rimando,2011,RSL,GK,33,33,2970,0,0,0,0,0,0/0,0,0,0.0,0.0
6048,Kasey Keller,2011,SEA,GK,34,34,3060,0,0,0,0,0,0/0,0,0,0.0,0.0
6049,Matt Pickens,2011,COL,GK,34,34,3060,0,0,0,0,0,0/0,0,0,0.0,0.0
6050,Chris Wondolowski,2012,SJ,F-M,32,31,2813,27,7,127,55,11,5/7,13,14,0.86,21.3
6051,Kenny Cooper,2012,NY,F,33,26,2505,18,3,84,46,7,3/3,11,7,0.65,21.4
6052,Alvaro Saborio,2012,RSL,F,31,26,2390,17,3,87,40,6,3/3,13,4,0.64,19.5
6053,Robbie Keane,2012,LA,F,28,28,2519,16,9,94,43,6,1/2,9,7,0.57,17.0
6054,Thierry Henry,2012,NY,F,25,24,2108,15,12,88,37,3,0/0,10,5,0.64,17.0
6055,Eddie Johnson,2012,SEA,F,28,24,2120,14,3,72,25,5,0/0,7,7,0.59,19.4
6056,Fredy Montero,2012,SEA,F,33,28,2576,13,8,126,46,3,0/0,4,9,0.45,10.3
6057,Alan Gordon,2012,SJ,F,23,13,1297,13,7,43,25,4,0/0,8,5,0.9,30.2
6058,Chris Pontius,2012,DC,M-F,31,26,2339,12,4,71,29,6,1/1,6,6,0.46,16.9
6059,Will Bruin,2012,HOU,F,32,31,2510,12,4,78,35,0,0/0,6,6,0.43,15.4
6060,Kei Kamara,2012,KC,F,33,32,2871,11,8,134,49,4,2/3,6,5,0.34,8.2
6061,Saer Sene,2012,NE,M,25,23,1934,11,3,75,35,2,1/1,8,3,0.51,14.7
6062,Steven Lenhart,2012,SJ,F,26,18,1623,10,2,64,33,2,0/0,7,3,0.55,15.6
6063,Landon Donovan,2012,LA,M-F,26,25,2256,9,14,65,29,3,2/2,4,5,0.36,13.8
6064,Patrice Bernier,2012,MTL,M,27,25,2194,9,8,32,15,1,6/6,7,2,0.37,28.1
6065,Fabian Espindola,2012,RSL,F,30,27,2293,9,7,69,30,4,0/0,3,6,0.35,13.0
6066,Jairo Arrieta,2012,CLB,F,18,18,1534,9,4,41,21,2,0/0,5,4,0.53,22.0
6067,Blas Perez,2012,DAL,F,20,19,1705,9,4,53,23,0,0/1,3,6,0.48,17.0
6068,Danny Koevermans,2012,TOR,F,16,12,1186,9,2,39,24,1,0/0,3,6,0.68,23.1
6069,C.J. Sapong,2012,KC,F,31,24,2210,9,2,61,24,5,0/0,5,4,0.37,14.8
6070,Eddie Gaven,2012,CLB,M,34,34,2990,9,2,55,27,1,0/0,6,3,0.27,16.4
6071,Brad Davis,2012,HOU,M,31,28,2523,8,12,53,22,3,3/4,5,3,0.29,15.1
6072,Jaime Castrillon,2012,COL,M,30,29,2417,8,4,50,18,3,0/0,4,4,0.3,16.0
6073,Jack McInerney,2012,PHI,F,25,18,1630,8,3,42,19,3,0/0,4,4,0.44,19.0
6074,Chris Rolfe,2012,CHI,F-M,22,19,1760,8,3,58,20,2,1/1,4,4,0.41,13.8
6075,Lionard Pajoy,2012,DC,F,32,28,2475,8,3,59,20,1,1/1,6,2,0.29,13.6
6076,Simon Dawkins,2012,SJ,M,27,21,1847,8,1,65,24,1,0/0,6,2,0.39,12.3
6077,Dwayne De Rosario,2012,DC,M,26,25,2195,7,12,81,26,2,0/1,6,1,0.29,8.6
6078,David Beckham,2012,LA,M,24,23,1985,7,9,40,18,0,0/0,2,5,0.32,17.5
6079,Ryan Johnson,2012,TOR,F,31,31,2769,7,5,67,23,0,0/1,2,5,0.23,10.4
6080,Juninho,2012,LA,M,32,30,2666,7,4,52,20,3,0/0,5,2,0.24,13.5
6081,Maicon Santos,2012,DC,F,26,16,1470,7,3,64,19,2,0/0,6,1,0.43,10.9
6082,Darren Mattocks,2012,VAN,F,21,15,1300,7,1,38,16,2,0/0,2,5,0.48,18.4
6083,Kris Boyd,2012,POR,F,26,22,1893,7,1,63,28,1,0/0,6,1,0.33,11.1
6084,Marco Pappa,2012,CHI,M,22,20,1615,6,5,69,21,3,0/0,4,2,0.33,8.7
6085,Nick DeLeon,2012,DC,M,28,25,2175,6,4,44,22,1,0/0,4,2,0.25,13.6
6086,Sanna Nyassi,2012,MTL,M,28,17,1716,6,3,58,31,2,0/0,3,3,0.31,10.3
6087,Dominic Oduro,2012,CHI,F-M,33,21,1823,6,3,54,25,3,0/0,4,2,0.3,11.1
6088,Fabian Castillo,2012,DAL,F,26,23,1892,6,3,36,19,2,0/0,2,4,0.29,16.7
6089,Omar Cummings,2012,COL,F,28,23,2000,6,2,76,28,1,0/1,3,3,0.27,7.9
6090,Darlington Nagbe,2012,POR,F-M,33,31,2777,6,1,50,16,0,0/0,3,3,0.19,12.0
6091,Hamdi Salihi,2012,DC,F,22,10,945,6,0,32,17,1,0/0,3,3,0.57,18.8
6092,Gabriel Gomez,2012,PHI,M,24,18,1578,6,0,30,9,3,1/1,3,3,0.34,20.0
6093,Graham Zusi,2012,KC,F-M,32,31,2788,5,15,82,24,4,1/1,4,1,0.16,6.1
6094,Federico Higuain,2012,CLB,F,13,11,1004,5,7,32,9,2,1/1,5,0,0.45,15.6
6095,Camilo,2012,VAN,F,28,19,1719,5,7,64,24,1,0/0,5,0,0.26,7.8
6096,Brian Ching,2012,HOU,F,30,13,1385,5,5,35,15,1,2/2,2,3,0.32,14.3
6097,Eric Hassli,2012,TOR,F,25,16,1469,5,5,49,16,1,0/0,4,1,0.31,10.2
6098,Luis Silva,2012,TOR,F-M,30,22,2061,5,5,50,19,1,0/0,2,3,0.22,10.0
6099,Joel Lindpere,2012,NY,M,34,26,2385,5,5,28,12,1,0/0,1,4,0.19,17.9
6100,Mike Magee,2012,LA,F,29,24,2078,5,4,56,22,3,0/0,3,2,0.22,8.9
6101,Marco Di Vaio,2012,MTL,F,17,16,1366,5,3,49,15,1,0/0,3,2,0.33,10.2
6102,Kamani Hill,2012,COL,F,19,3,582,5,2,15,8,1,0/0,4,1,0.77,33.3
6103,Lee Nguyen,2012,NE,M,30,27,2386,5,2,60,18,1,1/1,3,2,0.19,8.3
6104,Sebastien Le Toux,2012,NY,F-M,33,27,2522,5,2,34,16,2,0/0,4,1,0.18,14.7
6105,Teal Bunbury,2012,KC,F,22,14,1247,5,1,50,16,1,0/0,1,4,0.36,10.0
6106,Freddy Adu,2012,PHI,F,24,20,1468,5,1,33,13,2,2/2,4,1,0.31,15.2
6107,Bright Dike,2012,POR,F,12,9,896,5,0,29,12,1,0/0,3,2,0.5,17.2
6108,David Estrada,2012,SEA,M-F,17,12,1027,5,0,25,10,2,0/0,4,1,0.44,20.0
6109,Felipe Martins,2012,MTL,M,30,30,2652,4,10,59,23,1,0/0,2,2,0.14,6.8
6110,Jackson,2012,DAL,M,21,18,1732,4,7,56,14,0,0/0,3,1,0.21,7.1
6111,Patrick Nyarko,2012,CHI,M,34,31,2756,4,7,40,13,1,0/0,3,1,0.13,10.0
6112,Boniek Garcia,2012,HOU,M,17,17,1530,4,6,30,12,1,0/0,3,1,0.24,13.3
6113,Sherjill MacDonald,2012,CHI,F,14,12,1033,4,4,32,11,2,0/0,2,2,0.35,12.5
6114,Brad Evans,2012,SEA,M,29,29,2371,4,4,35,13,1,2/2,3,1,0.15,11.4
6115,Kyle Beckerman,2012,RSL,M,30,29,2592,4,4,35,8,1,0/0,2,2,0.14,11.4
6116,Alvaro Fernandez,2012,CHI,M,27,23,1863,4,3,29,7,0,0/0,2,2,0.19,13.8
6117,Dane Richards,2012,VAN,M,29,26,2402,4,3,30,11,2,0/0,3,1,0.15,13.3
6118,Davy Arnaud,2012,MTL,M,33,31,2765,4,3,40,13,1,0/0,4,0,0.13,10.0
6119,Calen Carr,2012,HOU,F,26,17,1512,4,2,29,11,2,0/0,3,1,0.24,13.8
6120,Macoumba Kandji,2012,HOU,F,29,21,1630,4,2,34,16,1,0/0,3,1,0.22,11.8
6121,Milovan Mirosevic,2012,CLB,M,26,25,2140,4,2,46,14,2,1/2,2,2,0.17,8.7
6122,Bernardo Corradi,2012,MTL,F,11,7,619,4,1,13,7,1,3/3,2,2,0.58,30.8
6123,Antoine Hoppenot,2012,PHI,F,25,3,817,4,1,18,8,0,0/0,2,2,0.44,22.2
6124,Jacob Peterson,2012,KC,F,23,9,942,4,1,24,11,1,0/0,1,3,0.38,16.7
6125,Justin Meram,2012,CLB,M,22,11,960,4,1,27,10,2,0/0,2,2,0.38,14.8
6126,Andrew Wenger,2012,MTL,F,23,7,823,4,0,20,9,2,0/0,3,1,0.44,20.0
6127,Juan Pablo Angel,2012,CHV,F,19,9,1004,4,0,50,18,1,1/1,2,2,0.36,8.0
6128,Marvin Chavez,2012,SJ,M,27,23,1910,3,13,42,14,0,0/0,2,1,0.14,7.1
6129,Mauro Rosales,2012,SEA,M,27,25,2031,3,13,16,5,1,0/0,2,1,0.13,18.8
6130,Javier Morales,2012,RSL,M,29,23,2119,3,9,31,12,2,0/0,2,1,0.13,9.7
6131,Jan Gunnar Solli,2012,NY,D,24,21,1865,3,5,16,9,1,0/0,2,1,0.14,18.8
6132,Kelyn Rowe,2012,NE,M,30,21,1897,3,5,43,20,1,0/0,1,2,0.14,7.0
6133,Miller Bolanos,2012,CHV,M,24,21,1858,3,4,68,20,1,0/0,2,1,0.15,4.4
6134,Shalrie Joseph,2012,CHV,M,30,27,2561,3,4,22,6,0,0/0,1,2,0.11,13.6
6135,Jack Jewsbury,2012,POR,D-M,32,31,2765,3,4,35,10,2,0/0,2,1,0.1,8.6
6136,Emilio Renteria,2012,CLB,F,27,16,1542,3,3,50,14,2,0/0,2,1,0.18,6.0
6137,Juan Agudelo,2012,CHV,F,24,17,1570,3,3,44,16,0,1/1,2,1,0.17,6.8
6138,Tony Cascio,2012,COL,M,29,18,1692,3,3,53,19,2,0/0,2,1,0.16,5.7
6139,Will Johnson,2012,RSL,M,26,23,2087,3,3,36,18,1,0/0,2,1,0.13,8.3
6140,Dax McCarty,2012,NY,M,33,33,2918,3,3,40,10,1,0/0,2,1,0.09,7.5
6141,Barry Robson,2012,VAN,M,17,16,1421,3,2,32,9,1,1/1,3,0,0.19,9.4
6142,Brek Shea,2012,DAL,M,21,20,1747,3,2,55,20,1,2/2,2,1,0.15,5.5
6143,Gershon Koffie,2012,VAN,M,29,28,2503,3,2,39,11,1,0/0,3,0,0.11,7.7
6144,Drew Moor,2012,COL,D,34,34,3060,3,2,17,8,1,0/0,3,0,0.09,17.6
6145,Edson Buddle,2012,LA,F,19,10,969,3,1,31,9,0,0/0,1,2,0.28,9.7
6146,Danny Mwanga,2012,POR,F,27,12,1198,3,1,18,7,0,0/0,1,2,0.23,16.7
6147,Aurelien Collin,2012,KC,D,29,28,2490,3,1,28,7,1,0/0,2,1,0.11,10.7
6148,Gonzalo Segares,2012,CHI,D,31,31,2682,3,1,15,8,1,0/0,1,2,0.1,20.0
6149,Andre Akpan,2012,COL,F,15,4,434,3,0,9,5,1,1/1,3,0,0.62,33.3
6150,Matt Hedges,2012,DAL,D,28,23,2022,3,0,12,5,0,0/0,0,3,0.13,25.0
6151,Terry Dunfield,2012,TOR,M,30,30,2493,3,0,24,11,1,0/0,1,2,0.11,12.5
6152,Austin Berry,2012,CHI,D,28,28,2520,3,0,14,5,1,0/0,1,2,0.11,21.4
6153,Jeff Larentowicz,2012,COL,M,32,32,2779,3,0,61,16,0,2/2,2,1,0.1,4.9
6154,Markus Holgersson,2012,NY,D,31,31,2790,3,0,11,5,1,0/0,2,1,0.1,27.3
6155,David Ferreira,2012,DAL,M,17,16,1427,2,9,21,9,2,0/1,1,1,0.13,9.5
6156,Martin Rivero,2012,COL,M,30,30,2597,2,8,61,19,1,0/0,0,2,0.07,3.3
6157,Ramiro Corrales,2012,SJ,M,22,19,1667,2,7,20,6,0,0/0,2,0,0.11,10.0
6158,Brian Mullan,2012,COL,D,28,25,2116,2,7,16,6,0,0/0,2,0,0.09,12.5
6159,Sebastian Grazzini,2012,CHI,M,14,14,1103,2,5,30,15,0,1/2,2,0,0.16,6.7
6160,Brandon Barklage,2012,NY,D,19,16,1360,2,5,9,2,0,0/0,2,0,0.13,22.2
6161,Justin Mapp,2012,MTL,M,27,21,1641,2,5,34,14,1,0/0,1,1,0.11,5.9
6162,Chris Tierney,2012,NE,D-M,28,26,2379,2,5,22,10,1,0/0,0,2,0.08,9.1
6163,Danny Cruz,2012,PHI,M,28,24,1868,2,4,39,10,0,1/1,1,1,0.1,5.1
6164,Brandon McDonald,2012,DC,D,33,33,2963,2,4,18,3,1,0/0,2,0,0.06,11.1
6165,Khari Stephenson,2012,SJ,M,27,10,1052,2,3,31,10,0,1/1,1,1,0.17,6.5
6166,Conor Casey,2012,COL,F,18,13,1156,2,3,38,12,0,0/0,1,1,0.16,5.3
6167,Reggie Lambe,2012,TOR,M,27,22,1845,2,3,22,13,0,0/0,2,0,0.1,9.1
6168,Adam Moffat,2012,HOU,M,23,22,1930,2,3,28,7,1,0/0,2,0,0.09,7.1
6169,Andre Hainault,2012,HOU,D,25,24,2035,2,3,12,6,2,0/0,1,1,0.09,16.7
6170,Kosuke Kimura,2012,POR,D,29,28,2363,2,3,6,3,0,0/0,2,0,0.08,33.3
6171,Zach Loyd,2012,DAL,D,32,31,2696,2,3,15,3,0,0/0,2,0,0.07,13.3
6172,Daniel Paladini,2012,CHI,M,15,7,691,2,2,13,5,1,0/0,1,1,0.26,15.4
6173,Diego Fagundez,2012,NE,M-F,20,8,770,2,2,18,9,1,0/0,2,0,0.23,11.1
6174,Paulo Junior,2012,RSL,F,22,12,848,2,2,26,12,1,1/1,1,1,0.21,7.7
6175,Fernando Cardenas,2012,NE,F,27,9,1016,2,2,27,10,1,0/0,1,1,0.18,7.4
6176,Lamar Neagle,2012,MTL,F,23,11,1086,2,2,23,5,1,0/0,2,0,0.17,8.7
6177,Jonny Steele,2012,RSL,M,28,11,1179,2,2,19,4,1,0/0,1,1,0.15,10.5
6178,Tony Tchani,2012,CLB,M,22,14,1331,2,2,30,5,1,0/0,1,1,0.14,6.7
6179,Torsten Frings,2012,TOR,M,20,20,1669,2,2,30,10,1,0/1,1,1,0.11,6.7
6180,Marcelo Sarvas,2012,LA,M,27,22,1951,2,2,41,11,0,0/0,1,1,0.09,4.9
6181,Nick LaBrocca,2012,CHV,M,29,26,2293,2,2,36,14,1,0/0,0,2,0.08,5.6
6182,Alain Rochat,2012,VAN,D,27,27,2323,2,2,16,6,0,0/0,2,0,0.08,12.5
6183,Todd Dunivant,2012,LA,D,29,29,2544,2,2,8,2,1,0/0,2,0,0.07,25.0
6184,Kenny Miller,2012,VAN,F,13,8,716,2,1,11,4,0,0/0,1,1,0.25,18.2
6185,Lewis Neal,2012,DC,M,18,7,717,2,1,7,2,2,0/0,2,0,0.25,28.6
6186,Blake Brettschneider,2012,NE,F,17,10,892,2,1,17,9,0,0/0,0,2,0.2,11.8
6187,Victor Bernardez,2012,SJ,D,24,24,2088,2,1,19,4,1,0/0,2,0,0.09,10.5
6188,Bobby Boswell,2012,HOU,D,33,33,2930,2,1,20,7,0,0/0,2,0,0.06,10.0
6189,Jamie Smith,2012,COL,M,10,1,226,2,0,4,3,0,0/0,1,1,0.8,50.0
6190,Sinisa Ubiparipovic,2012,MTL,F-M,12,3,325,2,0,5,2,0,0/0,2,0,0.55,40.0
6191,Ricardo Villar,2012,DAL,M,9,8,609,2,0,11,6,1,0/0,1,1,0.3,18.2
6192,Scott Sealy,2012,DAL,F,16,8,641,2,0,16,6,0,0/0,1,1,0.28,12.5
6193,Jose Correa,2012,CHV,F,16,7,695,2,0,15,3,1,1/1,1,1,0.26,13.3
6194,Alex,2012,CHI,M,17,6,705,2,0,29,9,1,0/0,2,0,0.26,6.9
6195,Andrew Wiedeman,2012,TOR,F,20,8,897,2,0,17,5,1,0/0,1,1,0.2,11.8
6196,Jerry Bengtson,2012,NE,F,13,10,942,2,0,22,8,0,0/0,1,1,0.19,9.1
6197,Tyrone Marshall,2012,COL,D,16,13,1128,2,0,7,3,0,0/0,1,1,0.16,28.6
6198,Alejandro Moreno,2012,CHV,F,22,17,1520,2,0,18,5,0,0/0,1,1,0.12,11.1
6199,Chad Marshall,2012,CLB,D,24,24,2146,2,0,22,8,0,0/0,2,0,0.08,9.1
6200,Nat Borchers,2012,RSL,D,26,26,2340,2,0,12,6,1,0/0,1,1,0.08,16.7
6201,Heath Pearce,2012,NY,D,28,28,2504,2,0,7,4,1,0/0,1,1,0.07,28.6
6202,A.J. Soares,2012,NE,D,30,30,2611,2,0,11,5,1,0/0,0,2,0.07,18.2
6203,Carlos Valdes,2012,PHI,D,33,33,2923,2,0,24,5,1,0/0,2,0,0.06,8.3
6204,Branko Boskovic,2012,DC,M,26,12,1081,1,7,20,8,1,0/0,1,0,0.08,5.0
6205,Shea Salinas,2012,SJ,M,19,11,1099,1,7,17,5,0,0/0,0,1,0.08,5.9
6206,Sam Cronin,2012,SJ,M,31,30,2578,1,6,25,3,0,0/0,1,0,0.03,4.0
6207,Franck Songo'o,2012,POR,M,27,21,1732,1,5,47,18,1,0/0,1,0,0.05,2.1
6208,Julian de Guzman,2012,DAL,M,28,21,1957,1,5,32,5,1,0/0,1,0,0.05,3.1
6209,Michael Farfan,2012,PHI,M,32,31,2802,1,5,54,15,1,0/1,0,1,0.03,1.9
6210,Alex Caskey,2012,SEA,M,20,12,1093,1,4,19,5,0,0/0,1,0,0.08,5.3
6211,Sal Zizzo,2012,POR,F,20,12,1174,1,4,24,6,0,0/0,0,1,0.08,4.2
6212,Pavel Pardo,2012,CHI,M,28,27,2386,1,4,25,8,1,0/0,1,0,0.04,4.0
6213,Rafael Baca,2012,SJ,M,33,31,2551,1,4,24,7,0,0/0,0,1,0.04,4.2
6214,Justin Morrow,2012,SJ,D,33,33,2970,1,4,6,2,0,0/0,1,0,0.03,16.7
6215,Lee Young-Pyo,2012,VAN,D,33,33,2970,1,4,7,2,1,0/0,0,1,0.03,14.3
6216,Chad Barrett,2012,LA,F,18,7,677,1,3,14,2,0,0/0,1,0,0.13,7.1
6217,Tim Cahill,2012,NY,M,12,12,1080,1,3,24,8,0,0/0,1,0,0.08,4.2
6218,Eric Avila,2012,TOR,M,24,16,1366,1,3,27,6,0,0/0,0,1,0.07,3.7
6219,Luis Gil,2012,RSL,M,29,19,1610,1,3,22,5,0,0/0,1,0,0.06,4.5
6220,Josh Williams,2012,CLB,D,30,27,2429,1,3,24,8,0,0/0,0,1,0.04,4.2
6221,Kalif Alhassan,2012,POR,M,16,10,827,1,2,19,6,0,0/0,1,0,0.11,5.3
6222,Casey Townsend,2012,CHV,F,17,10,907,1,2,17,8,1,0/0,0,1,0.1,5.9
6223,Hector Jimenez,2012,LA,M,15,13,920,1,2,8,3,0,0/0,1,0,0.1,12.5
6224,Bobby Convey,2012,KC,M,16,14,989,1,2,7,3,0,0/0,0,1,0.09,14.3
6225,Mehdi Ballouchy,2012,SJ,M,22,14,1116,1,2,15,3,0,0/0,1,0,0.08,6.7
6226,Chris Birchall,2012,CLB,M,18,17,1515,1,2,18,6,1,0/0,1,0,0.06,5.6
6227,Hassoun Camara,2012,MTL,D,20,19,1663,1,2,15,4,1,0/0,1,0,0.05,6.7
6228,Jordan Harvey,2012,VAN,D,26,18,1737,1,2,6,1,0,0/0,1,0,0.05,16.7
6229,Daniel Woolard,2012,DC,D,20,20,1754,1,2,5,2,0,0/0,0,1,0.05,20.0
6230,Ryan Guy,2012,NE,M,23,20,1832,1,2,34,12,0,0/0,0,1,0.05,2.9
6231,Benny Feilhaber,2012,NE,M,29,23,2147,1,2,42,16,0,0/0,1,0,0.04,2.4
6232,Sheanon Williams,2012,PHI,D-M,28,28,2486,1,2,14,6,0,0/0,0,1,0.04,7.1
6233,Osvaldo Alonso,2012,SEA,M,30,30,2688,1,2,41,13,1,0/0,0,1,0.03,2.4
6234,Jonathan Top,2012,DAL,F,4,1,101,1,1,2,2,0,0/0,0,1,0.89,50.0
6235,Jose Villarreal,2012,LA,F,10,0,122,1,1,3,2,0,0/0,0,1,0.74,33.3
6236,Steve Zakuani,2012,SEA,M,8,4,320,1,1,7,4,0,0/0,1,0,0.28,14.3
6237,Sammy Ochoa,2012,SEA,F,9,3,323,1,1,9,3,0,0/0,0,1,0.28,11.1
6238,Quincy Amarikwa,2012,TOR,F,14,6,601,1,1,12,4,0,0/0,1,0,0.15,8.3
6239,Laurent Courtois,2012,CHV,M,17,9,773,1,1,21,6,0,0/0,0,1,0.12,4.8
6240,Jorge Villafana,2012,CHV,M,14,9,906,1,1,12,2,0,0/0,1,0,0.1,8.3
6241,Marcelo Saragosa,2012,DC,M,16,12,1120,1,1,8,4,0,0/0,1,0,0.08,12.5
6242,Doneil Henry,2012,TOR,D,18,11,1139,1,1,10,3,0,0/0,0,1,0.08,10.0
6243,Omar Gonzalez,2012,LA,D,14,13,1147,1,1,10,3,0,0/0,0,1,0.08,10.0
6244,Andy Rose,2012,SEA,M,23,11,1156,1,1,17,4,0,0/0,1,0,0.08,5.9
6245,Zarek Valentin,2012,MTL,D,15,14,1161,1,1,2,1,0,0/0,1,0,0.08,50.0
6246,Rodney Wallace,2012,POR,M-D,19,14,1224,1,1,25,9,0,0/0,1,0,0.07,4.0
6247,Luiz Camargo,2012,HOU,M,26,16,1425,1,1,6,2,0,0/0,0,1,0.06,16.7
6248,Wilman Conde,2012,NY,D,17,16,1433,1,1,7,1,0,0/0,0,1,0.06,14.3
6249,Zach Scott,2012,SEA,D,20,16,1437,1,1,11,2,1,0/0,1,0,0.06,9.1
6250,Keon Daniel,2012,PHI,M,22,17,1517,1,1,20,4,0,0/0,0,1,0.06,5.0
6251,Paulo Nagamura,2012,KC,M,27,19,1757,1,1,37,5,0,0/0,1,0,0.05,2.7
6252,Jermaine Taylor,2012,HOU,D,27,26,2334,1,1,16,3,1,0/0,1,0,0.04,6.3
6253,Martin Bonjour,2012,VAN,D,28,27,2396,1,1,8,2,0,0/0,1,0,0.04,12.5
6254,Jair Benitez,2012,DAL,D,28,27,2397,1,1,15,3,0,0/1,1,0,0.04,6.7
6255,Andrew Jacobson,2012,DAL,M,31,31,2597,1,1,40,8,0,0/0,1,0,0.03,2.5
6256,Jay DeMerit,2012,VAN,D,31,31,2726,1,1,13,5,1,0/0,0,1,0.03,7.7
6257,Jalil Anibaba,2012,CHI,D,33,32,2868,1,1,18,5,0,0/0,0,1,0.03,5.6
6258,Sebastian Miranda,2012,CLB,D,33,33,2882,1,1,6,2,1,0/0,1,0,0.03,16.7
6259,Brian Carroll,2012,PHI,M,33,32,2898,1,1,20,4,0,0/0,0,1,0.03,5.0
6260,Oriol Rosell,2012,KC,M,5,1,127,1,0,1,1,1,0/0,1,0,0.71,100.0
6261,Pat Noonan,2012,LA,F,10,1,174,1,0,3,2,0,0/0,1,0,0.52,33.3
6262,Ruben Luna,2012,DAL,F,7,2,208,1,0,2,1,0,0/0,1,0,0.43,50.0
6263,Long Tan,2012,DC,F,10,3,259,1,0,15,5,0,0/0,1,0,0.35,6.7
6264,Emiliano Bonfigli,2012,RSL,F,10,1,288,1,0,5,2,0,0/0,0,1,0.31,20.0
6265,Christian Wilhelmsson,2012,LA,M,5,4,303,1,0,9,2,0,0/0,1,0,0.3,11.1
6266,Jose Moreno,2012,NE,F,7,5,376,1,0,10,7,0,0/0,1,0,0.24,10.0
6267,Dimitry Imbongo,2012,NE,F,9,4,382,1,0,15,3,1,0/0,1,0,0.24,6.7
6268,Andrew Jean-Baptiste,2012,POR,D,5,4,426,1,0,2,1,0,0/0,1,0,0.21,50.0
6269,Joseph Nane,2012,COL,M,9,6,446,1,0,3,1,1,0/0,1,0,0.2,33.3
6270,Bernardo Anor,2012,CLB,M,11,5,493,1,0,7,2,1,0/0,0,1,0.18,14.3
6271,Cole Grossman,2012,CLB,M,10,5,500,1,0,3,1,0,0/0,0,1,0.18,33.3
6272,Josue Martinez,2012,PHI,F,18,6,594,1,0,14,6,0,0/0,1,0,0.15,7.1
6273,Colin Clark,2012,HOU,M,14,6,655,1,0,8,2,1,1/1,1,0,0.14,12.5
6274,Olman Vargas,2012,CLB,F,11,7,667,1,0,15,7,0,0/0,1,0,0.13,6.7
6275,Paolo Cardozo,2012,CHV,M,10,9,692,1,0,13,4,0,0/0,0,1,0.13,7.7
6276,Ricardo Clark,2012,HOU,M,11,8,760,1,0,9,2,1,0/0,1,0,0.12,11.1
6277,Ugo Ihemelu,2012,DAL,D,10,10,900,1,0,5,1,1,0/0,1,0,0.1,20.0
6278,Eric Brunner,2012,POR,D,13,10,924,1,0,8,2,0,0/0,1,0,0.1,12.5
6279,Darrius Barnes,2012,NE,D,13,11,1017,1,0,2,1,0,0/0,1,0,0.09,50.0
6280,Carlos Rodriguez,2012,DAL,M,24,12,1303,1,0,14,5,0,0/0,0,1,0.07,7.1
6281,Robbie Russell,2012,DC,D,19,16,1355,1,0,7,3,0,0/0,1,0,0.07,14.3
6282,Patrick Ianni,2012,SEA,D-M,16,15,1357,1,0,2,1,0,0/0,1,0,0.07,50.0
6283,Jeremy Hall,2012,TOR,M,23,19,1708,1,0,7,2,0,0/0,0,1,0.05,14.3
6284,Oswaldo Minda,2012,CHV,M,22,20,1748,1,0,17,3,1,0/0,0,1,0.05,5.9
6285,Arne Friedrich,2012,CHI,D,23,22,1832,1,0,12,7,1,0/0,0,1,0.05,8.3
6286,David Horst,2012,POR,D,21,20,1845,1,0,17,3,1,0/0,1,0,0.05,5.9
6287,Dejan Jakovic,2012,DC,D,23,21,1861,1,0,2,2,0,0/0,1,0,0.05,50.0
6288,Danny Califf,2012,CHV,D,23,23,2034,1,0,6,1,1,0/0,0,1,0.04,16.7
6289,Julio Cesar,2012,KC,D,27,25,2071,1,0,18,2,0,0/0,1,0,0.04,5.6
6290,Hernan Pertuz,2012,DAL,D,30,24,2116,1,0,7,2,0,0/0,0,1,0.04,14.3
6291,Logan Pause,2012,CHI,M,32,31,2424,1,0,5,2,0,0/0,1,0,0.04,20.0
6292,Chance Myers,2012,KC,D,30,28,2538,0,7,20,2,0,0/0,0,0,0.0,0.0
6293,Eric Alexander,2012,POR,M,24,14,1302,0,6,26,7,0,0/0,0,0,0.0,0.0
6294,Roy Miller,2012,NY,D,24,20,1662,0,6,6,0,0,0/0,0,0,0.0,0.0
6295,Steven Beitashour,2012,SJ,D,33,33,2955,0,6,11,2,0,0/0,0,0,0.0,0.0
6296,Davide Chiumiento,2012,VAN,M,16,15,1276,0,5,22,6,0,0/0,0,0,0.0,0.0
6297,Hunter Freeman,2012,COL,D,19,18,1542,0,5,6,2,0,0/0,0,0,0.0,0.0
6298,Ashtone Morgan,2012,TOR,D,30,27,2528,0,5,10,2,0,0/0,0,0,0.0,0.0
6299,Sean Franklin,2012,LA,D,34,33,2937,0,5,17,4,0,0/0,0,0,0.0,0.0
6300,Ryan Smith,2012,CHV,M,21,12,1215,0,4,23,5,0,0/0,0,0,0.0,0.0
6301,Andy Najar,2012,DC,M-F,25,22,2045,0,4,15,3,0,0/0,0,0,0.0,0.0
6302,Shaun Francis,2012,CLB,D,10,6,507,0,3,6,1,0,0/0,0,0,0.0,0.0
6303,Tressor Moreno,2012,SJ,M,12,6,557,0,3,3,0,0,0/0,0,0,0.0,0.0
6304,Christian Tiffert,2012,SEA,M,12,11,978,0,3,7,1,0,0/0,0,0,0.0,0.0
6305,Rafa Marquez,2012,NY,M,15,13,987,0,3,6,1,0,0/0,0,0,0.0,0.0
6306,Nemanja Vukovic,2012,CLB,D,15,12,1113,0,3,15,3,0,0/0,0,0,0.0,0.0
