,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
174,Mirsad Huseinovic,1996,MET,M,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0
175,Ed Pinon,1996,COL,M,1,0,48,0,0,0,0,0,0/0,0,0,0.0,0.0
176,Patrick Tardieu,1996,NE,F,5,0,69,0,0,3,1,0,0/0,0,0,0.0,0.0
177,Ryshiem Henderson,1996,SJ,F,3,0,78,0,0,3,1,0,0/0,0,0,0.0,0.0
178,Ben Crawley,1996,DC,F,5,0,82,0,0,1,0,0,0/0,0,0,0.0,0.0
179,Danny Barber,1996,MET,M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0
180,Ken Hesse,1996,MET,F,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0
181,Louis Ken-Kwofie,1996,MET,M,1,1,90,0,0,1,0,0,0/0,0,0,0.0,0.0
182,Greg Lalas,1996,TB,D,3,1,94,0,0,1,0,0,0/0,0,0,0.0,0.0
183,Rene Ortiz,1996,DAL,D,2,1,96,0,0,0,0,0,0/0,0,0,0.0,0.0
184,Rafael Amaya,1996,SJ,D,7,0,97,0,0,1,0,0,0/0,0,0,0.0,0.0
185,Sterling Wescott,1996,DC,M,2,1,102,0,0,0,0,0,0/0,0,0,0.0,0.0
186,Jeff Cassar,1996,DAL,GK,2,1,104,0,0,0,0,0,0/0,0,0,0.0,0.0
187,Jimmy Glenn,1996,DAL,F,9,0,115,0,0,5,4,0,0/0,0,0,0.0,0.0
188,Josh McKay,1996,COL,M,4,1,125,0,0,0,0,0,0/0,0,0,0.0,0.0
189,Thor Lee,1996,DC,D,2,2,134,0,0,0,0,0,0/0,0,0,0.0,0.0
190,George Gelnovatch,1996,DC,M,2,2,135,0,0,0,0,0,0/0,0,0,0.0,0.0
191,Said Fazlagic,1996,DC,D,2,1,136,0,0,0,0,0,0/0,0,0,0.0,0.0
192,Paul Young,1996,CLB,F,4,1,137,0,0,5,4,0,0/0,0,0,0.0,0.0
193,Mac Cozier,1996,CLB,F,13,0,155,0,0,2,1,0,0/0,0,0,0.0,0.0
194,Juan Suarez,1996,DC,F,2,2,160,0,0,4,1,0,0/0,0,0,0.0,0.0
195,Mike Huwiler,1996,DC,M,5,3,247,0,0,0,0,0,0/0,0,0,0.0,0.0
196,Zach Thornton,1996,MET,GK,3,3,270,0,0,0,0,0,0/0,0,0,0.0,0.0
197,Tayt Ianni,1996,SJ,D,6,3,287,0,0,0,0,0,0/0,0,0,0.0,0.0
198,Troy Edwards,1996,COL,D,4,3,289,0,0,1,0,0,0/0,0,0,0.0,0.0
